"","Symbol","Company.Name","Sector","Industry"
"504","EBR","Centrais Elétricas Brasileiras S.A. - Eletrobras","Utilities","Electric Utilities"
"505","CLW","Clearwater Paper Corporation","Consumer Goods","Paper & Paper Products"
"506","AGI","Alamos Gold Inc.","Basic Materials","Gold"
"507","EOT","Eaton Vance National Municipal Opportunities Trust",NA,NA
"508","CYS","CYS Investments, Inc.","Financial","REIT - Diversified"
"509","MDSO","Medidata Solutions, Inc.","Technology","Healthcare Information Services"
"510","BUD","Anheuser-Busch InBev SA/NV","Consumer Goods","Beverages - Brewers"
"511","IGI",NA,NA,NA
"512","TBNK","Territorial Bancorp Inc.","Financial","Regional - Pacific Banks"
"513","CPIX","Cumberland Pharmaceuticals Inc.","Healthcare","Drug Manufacturers - Other"
"514","SEM","Select Medical Holdings Corporation","Healthcare","Hospitals"
"515","ECHO","Echo Global Logistics, Inc.","Services","Trucking"
"516","VRSK","Verisk Analytics, Inc.","Services","Business Services"
"517","PAM","Pampa Energía S.A.","Utilities","Electric Utilities"
"518","IRWD","Ironwood Pharmaceuticals, Inc.","Healthcare","Drugs - Generic"
"519","TRNO","Terreno Realty Corporation","Financial","REIT - Industrial"
"520","STNG","Scorpio Tankers Inc.","Services","Shipping"
"521","PRI","Primerica, Inc.","Financial","Life Insurance"
"522","AOSL","Alpha and Omega Semiconductor Limited","Technology","Semiconductor - Specialized"
"523","EXPR","Express, Inc.","Services","Apparel Stores"
"524","JKS","JinkoSolar Holding Co., Ltd.","Technology","Semiconductor - Specialized"
"525","HSEB","HSBC Holdings plc",NA,NA
"526","FN","Fabrinet","Consumer Goods","Electronic Equipment"
"527","QUAD","Quad/Graphics, Inc.","Services","Business Services"
"528","COR","CoreSite Realty Corporation","Financial","REIT - Office"
"529","AMRS","Amyris, Inc.","Basic Materials","Specialty Chemicals"
"530","FSD",NA,NA,NA
"531","KEYW","The KEYW Holding Corporation","Technology","Application Software"
"532","GPRK","GeoPark Limited","Basic Materials","Oil & Gas Drilling & Exploration"
"533","GBT","Global Blood Therapeutics Inc.","Healthcare","Biotechnology"
"534","PACB","Pacific Biosciences of California, Inc.","Healthcare","Biotechnology"
"535","GBAB","Guggenheim Taxable Municipal Managed Duration Trust",NA,NA
"536","BAH","Booz Allen Hamilton Holding Corporation","Services","Management Services"
"537","BITA","Bitauto Holdings Limited","Technology","Internet Information Providers"
"538","RFP","Resolute Forest Products Inc.","Consumer Goods","Paper & Paper Products"
"539","OXLC","Oxford Lane Capital Corp.",NA,NA
"540","AFT","Apollo Senior Floating Rate Fund Inc.",NA,NA
"541","HCA","HCA Healthcare, Inc.","Healthcare","Hospitals"
"542","CSOD","Cornerstone OnDemand, Inc.","Technology","Application Software"
"543","FF","FutureFuel Corp.","Basic Materials","Chemicals - Major Diversified"
"544","GNC","GNC Holdings, Inc.","Services","Drug Stores"
"545","THR","Thermon Group Holdings, Inc.","Industrial Goods","Diversified Machinery"
"546","NMFC",NA,NA,NA
"547","YNDX","Yandex N.V.","Technology","Internet Information Providers"
"548","SAVE","Spirit Airlines, Inc.","Services","Major Airlines"
"549","P","Pandora Media, Inc.","Services","Broadcasting - Radio"
"550","WAIR","Wesco Aircraft Holdings, Inc.","Services","Industrial Equipment Wholesale"
"551","GNE","Genie Energy Ltd.","Basic Materials","Independent Oil & Gas"
"552","VAC","Marriott Vacations Worldwide Corporation","Services","Resorts & Casinos"
"553","DLPH","Delphi Automotive PLC","Consumer Goods","Auto Parts"
"554","MN","Manning & Napier, Inc.","Financial","Asset Management"
"555","KORS","Michael Kors Holdings Limited","Consumer Goods","Textile - Apparel Clothing"
"556","BCEI","Bonanza Creek Energy Inc.","Basic Materials","Independent Oil & Gas"
"557","GWRE","Guidewire Software, Inc.","Technology","Business Software & Services"
"558","CCXI","ChemoCentryx, Inc.","Healthcare","Biotechnology"
"559","SIR","Select Income REIT","Financial","REIT - Office"
"560","ALSN","Allison Transmission Holdings, Inc.","Consumer Goods","Auto Parts"
"561","VNTV","Vantiv, Inc.","Services","Business Services"
"562","HTF","Horizon Technology Finance Corporation",NA,NA
"563","BWG",NA,NA,NA
"564","RM","Regional Management Corp.","Financial","Credit Services"
"565","VCRA","Vocera Communications, Inc.","Technology","Communication Equipment"
"566","RXN","Rexnord Corporation","Industrial Goods","Diversified Machinery"
"567","PBYI","Puma Biotechnology, Inc.","Healthcare","Biotechnology"
"568","BGCA","BGC Partners, Inc.",NA,NA
"569","ELJ","Entergy Louisiana, LLC",NA,NA
"570","HTBI","HomeTrust Bancshares, Inc.","Financial","Regional - Northeast Banks"
"571","FIVE","Five Below, Inc.","Services","Specialty Retail, Other"
"572","CHUY","Chuy's Holdings, Inc.","Services","Restaurants"
"573","SWJ","Stanley Black & Decker, Inc.",NA,NA
"574","LDP","Cohen & Steers Limited Duration Preferred and Income Fund, Inc.",NA,NA
"575","BLMN","Bloomin' Brands, Inc.","Services","Restaurants"
"576","RZA","Reinsurance Group of America, Incorporated",NA,NA
"577","AGIIL","Argo Group US, Inc.",NA,NA
"578","QLYS","Qualys, Inc.","Technology","Application Software"
"579","DTQ","DTE Energy Company",NA,NA
"580","ANFI","Amira Nature Foods Ltd.","Consumer Goods","Food - Major Diversified"
"581","WDAY","Workday, Inc.","Technology","Application Software"
"582","SDLP","Seadrill Partners LLC","Basic Materials","Oil & Gas Drilling & Exploration"
"583","SIEN","Sientra, Inc.",NA,NA
"584","MRCC",NA,NA,NA
"585","BGH","Barings Global Short Duration High Yield Fund",NA,NA
"586","EDI","Stone Harbor Emerging Markets Total Income Fund",NA,NA
"587","MPLX","MPLX LP","Basic Materials","Oil & Gas Pipelines"
"588","SXE","Southcross Energy Partners, L.P.","Utilities","Gas Utilities"
"589","RH","RH","Services","Home Furnishing Stores"
"590","ENJ",NA,NA,NA
"591","RESI","Altisource Residential Corporation","Financial","REIT - Residential"
"592","GHY","Prudential Global Short Duration High Yield Fund, Inc.",NA,NA
"593","USAC","USA Compression Partners, LP","Basic Materials","Oil & Gas Equipment & Services"
"594","CVRR","CVR Refining, LP","Basic Materials","Oil & Gas Refining & Marketing"
"595","XONE","The ExOne Company","Industrial Goods","Diversified Machinery"
"596","VTRB",NA,NA,NA
"597","SSNI","Silver Spring Networks, Inc.","Technology","Computer Based Systems"
"598","ENTA","Enanta Pharmaceuticals, Inc.","Healthcare","Biotechnology"
"599","PF","Pinnacle Foods Inc.","Consumer Goods","Food - Major Diversified"
"600","DSL","DoubleLine Income Solutions Fund",NA,NA
"601","AMBC","Ambac Financial Group, Inc.","Financial","Surety & Title Insurance"
"602","BIOA","BioAmber Inc.","Basic Materials","Chemicals - Major Diversified"
"603","DFP","Delphi Financial Group, Inc.",NA,NA
"604","NYMTP","New York Mortgage Trust, Inc.",NA,NA
"605","COTY","Coty Inc.","Consumer Goods","Personal Products"
"606","MNK","Mallinckrodt Public Limited Company","Healthcare","Drugs - Generic"
"607","BLUE","bluebird bio, Inc.","Healthcare","Biotechnology"
"608","PTCT","PTC Therapeutics, Inc.","Healthcare","Biotechnology"
"609","GOGO","Gogo Inc.","Technology","Diversified Communication Services"
"610","AIY",NA,NA,NA
"611","TRMR","Tremor Video, Inc.","Technology","Application Software"
"612","FSFR","Fifth Street Senior Floating Rate Corp.",NA,NA
