"","Symbol","Company.Name","Sector","Industry"
"105","AXE","Anixter International Inc.","Services","Industrial Equipment Wholesale"
"106","SGMS","Scientific Games Corporation","Services","Gaming Activities"
"107","CB","Chubb Limited","Financial","Property & Casualty Insurance"
"108","JCI","Johnson Controls International plc","Consumer Goods","Auto Parts"
"109","SWK","Stanley Black & Decker, Inc.","Industrial Goods","Machine Tools & Accessories"
"110","NVR","NVR, Inc.","Industrial Goods","Residential Construction"
"111","ROST","Ross Stores, Inc.","Services","Apparel Stores"
"112","JKHY","Jack Henry & Associates, Inc.","Technology","Business Software & Services"
"113","CBU","Community Bank System, Inc.","Financial","Regional - Midwest Banks"
"114","STKL","SunOpta Inc.",NA,NA
"115","MSFT","Microsoft Corporation","Technology","Business Software & Services"
"116","HVT.A",NA,NA,NA
"117","CY","Cypress Semiconductor Corporation","Technology","Semiconductor - Broad Line"
"118","BDN","Brandywine Realty Trust","Financial","REIT - Diversified"
"119","VIVO","Meridian Bioscience, Inc.","Healthcare","Diagnostic Substances"
"120","FISV","Fiserv, Inc.","Services","Business Services"
"121","UNM","Unum Group","Financial","Accident & Health Insurance"
"122","TWN","The Taiwan Fund, Inc.",NA,NA
"123","EQC","Equity Commonwealth",NA,NA
"124","MMT","MFS Multimarket Income Trust",NA,NA
"125","CMU","MFS High Yield Municipal Trust",NA,NA
"126","FUN","Cedar Fair, L.P.","Services","General Entertainment"
"127","FBNC","First Bancorp","Financial","Regional - Mid-Atlantic Banks"
"128","TIF","Tiffany & Co.","Services","Jewelry Stores"
"129","AVNW","Aviat Networks, Inc.","Technology","Communication Equipment"
"130","MGF","MFS Government Markets Income Trust",NA,NA
"131","WASH","Washington Trust Bancorp, Inc.","Financial","Regional - Northeast Banks"
"132","CDNS","Cadence Design Systems, Inc.","Technology","Application Software"
"133","TEF","Telefónica, S.A.","Technology","Telecom Services - Foreign"
"134","IEP","Icahn Enterprises L.P.","Conglomerates","Conglomerates"
"135","PII","Polaris Industries Inc.","Consumer Goods","Recreational Vehicles"
"136","NNY","Nuveen New York Municipal Value Fund, Inc.",NA,NA
"137","NCA","Nuveen California Municipal Value Fund, Inc.",NA,NA
"138","VVC","Vectren Corporation","Utilities","Diversified Utilities"
"139","KEY","KeyCorp","Financial","Regional - Midwest Banks"
"140","SMP","Standard Motor Products, Inc.","Consumer Goods","Auto Parts"
"141","PBT","Permian Basin Royalty Trust","Basic Materials","Independent Oil & Gas"
"142","SWN","Southwestern Energy Company","Basic Materials","Independent Oil & Gas"
"143","SEE","Sealed Air Corporation","Consumer Goods","Packaging & Containers"
"144","SCX","The L.S. Starrett Company","Industrial Goods","Small Tools & Accessories"
"145","SAN","Banco Santander, S.A.","Financial","Foreign Money Center Banks"
"146","TTF","The Thai Fund, Inc.",NA,NA
"147","TFX","Teleflex Incorporated","Healthcare","Medical Instruments & Supplies"
"148","MIN","MFS Intermediate Income Trust",NA,NA
"149","CHFC","Chemical Financial Corporation","Financial","Regional - Midwest Banks"
"150","GNCMA","General Communication, Inc.","Technology","Long Distance Carriers"
"151","SUN","Sunoco LP","Basic Materials","Oil & Gas Refining & Marketing"
"152","KTF","Deutsche Municipal Income Trust",NA,NA
"153","TECH","Bio-Techne Corporation","Healthcare","Biotechnology"
"154","MEN","BlackRock MuniEnhanced Fund, Inc.",NA,NA
"155","KSM","Deutsche Strategic Municipal Income Trust",NA,NA
"156","CXH","MFS Investment Grade Municipal Trust",NA,NA
"157","AGN","Allergan plc","Healthcare","Drugs - Generic"
"158","MCR","MFS Charter Income Trust",NA,NA
"159","EA","Electronic Arts Inc.","Technology","Multimedia & Graphics Software"
"160","ZIXI","Zix Corporation","Technology","Application Software"
"161","GIII","G-III Apparel Group, Ltd.","Consumer Goods","Textile - Apparel Clothing"
"162","POT","Potash Corporation of Saskatchewan Inc.","Basic Materials","Agricultural Chemicals"
"163","ICON","Iconix Brand Group, Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories"
"164","JOE","The St. Joe Company","Financial","Real Estate Development"
"165","TEX","Terex Corporation","Industrial Goods","Farm & Construction Machinery"
"166","SSP","The E. W. Scripps Company","Services","Broadcasting - TV"
"167","RIO","Rio Tinto plc","Basic Materials","Industrial Metals & Minerals"
"168","MXE","Mexico Equity & Income Fund Inc.",NA,NA
"169","AZO","AutoZone, Inc.","Services","Auto Parts Stores"
"170","PRGS","Progress Software Corporation","Technology","Application Software"
"171","EZPW","EZCORP, Inc.","Financial","Credit Services"
"172","NUM","Nuveen Michigan Quality Municipal Income Fund",NA,NA
"173","ATNI","ATN International, Inc.","Technology","Telecom Services - Domestic"
"174","OI","Owens-Illinois, Inc.","Consumer Goods","Packaging & Containers"
"175","QCOM","QUALCOMM Incorporated","Technology","Communication Equipment"
"176","ELY","Callaway Golf Company","Consumer Goods","Sporting Goods"
"177","PPR","Voya Prime Rate Trust",NA,NA
"178","NBTB","NBT Bancorp Inc.","Financial","Regional - Northeast Banks"
"179","SCLN","SciClone Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Other"
"180","FRED","Fred's, Inc.","Services","Discount, Variety Stores"
"181","KOPN","Kopin Corporation","Technology","Semiconductor - Broad Line"
"182","STBA","S&T Bancorp, Inc.","Financial","Regional - Northeast Banks"
"183","HQL","Tekla Life Sciences Investors",NA,NA
"184","CACC","Credit Acceptance Corporation","Financial","Credit Services"
"185","LDF","The Latin American Discovery Fund, Inc.",NA,NA
"186","PX","Praxair, Inc.","Basic Materials","Chemicals - Major Diversified"
"187","JEQ",NA,NA,NA
"188","EQS",NA,NA,NA
"189","CCU","Compañía Cervecerías Unidas S.A.","Consumer Goods","Beverages - Brewers"
"190","TRIB","Trinity Biotech plc","Healthcare","Diagnostic Substances"
"191","MTX","Minerals Technologies Inc.","Basic Materials","Chemicals - Major Diversified"
"192","PDCO","Patterson Companies, Inc.","Services","Medical Equipment Wholesale"
"193","MIY","BlackRock MuniYield Michigan Quality Fund, Inc.",NA,NA
"194","QUMU","Qumu Corporation","Technology","Computer Peripherals"
"195","TCO","Taubman Centers, Inc.","Financial","REIT - Retail"
"196","AAON","AAON, Inc.","Industrial Goods","General Building Materials"
"197","BBOX","Black Box Corporation","Technology","Networking & Communication Devices"
"198","CHK","Chesapeake Energy Corporation","Basic Materials","Independent Oil & Gas"
"199","BKN","BlackRock Investment Quality Municipal Trust Inc.",NA,NA
"200","MS","Morgan Stanley","Financial","Investment Brokerage - National"
"201","SCVL","Shoe Carnival, Inc.","Services","Apparel Stores"
"202","NMT","Nuveen Massachusetts Quality Municipal Income Fund",NA,NA
"203","NPV","Nuveen Virginia Quality Municipal Income Fund",NA,NA
"204","ALG","Alamo Group Inc.","Industrial Goods","Farm & Construction Machinery"
"205","SYBT","Stock Yards Bancorp, Inc.","Financial","Regional - Southeast Banks"
"206","TCBK","TriCo Bancshares","Financial","Regional - Pacific Banks"
"207","AKR","Acadia Realty Trust","Financial","Property Management"
"208","THRM","Gentherm Incorporated","Consumer Goods","Auto Parts"
"209","BBSI","Barrett Business Services, Inc.","Services","Staffing & Outsourcing Services"
"210","CPT","Camden Property Trust","Financial","REIT - Residential"
"211","MCRI","Monarch Casino & Resort, Inc.","Services","Resorts & Casinos"
"212","EQR","Equity Residential","Financial","REIT - Residential"
"213","BWA","BorgWarner Inc.","Consumer Goods","Auto Parts"
"214","UBSH","Union Bankshares Corporation","Financial","Regional - Mid-Atlantic Banks"
"215","RVSB","Riverview Bancorp, Inc.","Financial","Savings & Loans"
"216","AF","Astoria Financial Corporation","Financial","Savings & Loans"
"217","BFR","BBVA Banco Francés S.A.","Financial","Foreign Regional Banks"
"218","TV","Grupo Televisa, S.A.B.","Services","Broadcasting - TV"
"219","EMN","Eastman Chemical Company","Basic Materials","Chemicals - Major Diversified"
"220","ARWR","Arrowhead Pharmaceuticals, Inc.","Healthcare","Biotechnology"
"221","OKSB","Southwest Bancorp, Inc.","Financial","Regional - Southwest  Banks"
"222","MED","Medifast, Inc.","Services","Specialty Retail, Other"
"223","ALB","Albemarle Corporation","Basic Materials","Specialty Chemicals"
"224","BZH","Beazer Homes USA, Inc.","Industrial Goods","Residential Construction"
"225","NMRX","Numerex Corp.","Technology","Communication Equipment"
"226","MPAA","Motorcar Parts of America, Inc.","Consumer Goods","Auto Parts"
"227","USNA","USANA Health Sciences, Inc.","Healthcare","Drug Related Products"
"228","CNOB","ConnectOne Bancorp, Inc.","Financial","Regional - Northeast Banks"
"229","VVUS","VIVUS, Inc.","Healthcare","Biotechnology"
"230","HMY","Harmony Gold Mining Company Limited","Basic Materials","Gold"
"231","HIW","Highwoods Properties, Inc.","Financial","REIT - Office"
"232","AKO.A",NA,NA,NA
"233","ADTN","ADTRAN, Inc.","Technology","Communication Equipment"
"234","AMED","Amedisys, Inc.","Healthcare","Home Health Care"
"235","RS","Reliance Steel & Aluminum Co.","Basic Materials","Steel & Iron"
"236","CETV","Central European Media Enterprises Ltd.","Services","Broadcasting - TV"
"237","VCO","Viña Concha y Toro S.A.","Consumer Goods","Beverages - Brewers"
"238","BMO","Bank of Montreal","Financial","Money Center Banks"
"239","UHAL","AMERCO","Services","Rental & Leasing Services"
"240","TGS","Transportadora de Gas Del Sur S.A.","Utilities","Gas Utilities"
"241","EME","EMCOR Group, Inc.","Industrial Goods","General Contractors"
"242","PAAS","Pan American Silver Corp.",NA,NA
"243","HA","Hawaiian Holdings, Inc.","Services","Regional Airlines"
"244","KFRC","Kforce Inc.","Services","Staffing & Outsourcing Services"
"245","AVX","AVX Corporation","Technology","Diversified Electronics"
"246","BREW","Craft Brew Alliance, Inc.","Consumer Goods","Beverages - Brewers"
"247","AGX","Argan, Inc.","Industrial Goods","Heavy Construction"
"248","ERIE","Erie Indemnity Company","Financial","Insurance Brokers"
"249","POOL","Pool Corporation","Consumer Goods","Sporting Goods"
"250","BAP","Credicorp Ltd.","Financial","Money Center Banks"
"251","WAT","Waters Corporation","Healthcare","Medical Instruments & Supplies"
"252","PRXL","PAREXEL International Corporation","Healthcare","Medical Laboratories & Research"
"253","NVAX","Novavax, Inc.","Healthcare","Biotechnology"
"254","ITT","ITT Inc.","Industrial Goods","Diversified Machinery"
"255","IPXL","Impax Laboratories, Inc.","Healthcare","Drug Manufacturers - Major"
"256","FTAI","Fortress Transportation and Infrastructure Investors LLC","Services","Rental & Leasing Services"
"257","SCCO","Southern Copper Corporation","Basic Materials","Copper"
"258","RCI","Rogers Communications Inc.","Technology","Wireless Communications"
"259","CSGS","CSG Systems International, Inc.","Technology","Business Software & Services"
"260","REV","Revlon, Inc.","Consumer Goods","Personal Products"
"261","CENX","Century Aluminum Company","Basic Materials","Aluminum"
"262","JAKK","JAKKS Pacific, Inc.","Consumer Goods","Toys & Games"
"263","ANSS","Ansys, Inc.","Technology","Application Software"
"264","PEGA","Pegasystems, Inc.","Technology","Business Software & Services"
"265","LAMR","Lamar Advertising Company","Financial","REIT - Diversified"
"266","ETFC","E*TRADE Financial Corporation","Financial","Investment Brokerage - National"
"267","FMS","Fresenius Medical Care AG & Co. KGAA","Healthcare","Specialized Health Services"
"268","NCI","Navigant Consulting, Inc.","Services","Management Services"
"269","NVS","Novartis AG","Healthcare","Drug Manufacturers - Major"
"270","PDS","Precision Drilling Corporation","Basic Materials","Oil & Gas Equipment & Services"
"271","PSO","Pearson plc","Services","Publishing - Books"
"272","NUS","Nu Skin Enterprises, Inc.","Consumer Goods","Personal Products"
"273","EMITF","Elbit Imaging Ltd.",NA,NA
"274","TESO","Tesco Corporation","Basic Materials","Oil & Gas Equipment & Services"
"275","VSAT","ViaSat, Inc.","Technology","Communication Equipment"
"276","SNAK","Inventure Foods, Inc.","Consumer Goods","Processed & Packaged Goods"
"277","SNHY","Sun Hydraulics Corporation","Industrial Goods","Industrial Equipment & Components"
"278","ESGR","Enstar Group Limited","Financial","Property & Casualty Insurance"
"279","ALV","Autoliv, Inc.","Consumer Goods","Auto Parts"
"280","FBC","Flagstar Bancorp, Inc.","Financial","Savings & Loans"
"281","VTR","Ventas, Inc.","Financial","REIT - Healthcare Facilities"
"282","AMZN","Amazon.com, Inc.","Services","Catalog & Mail Order Houses"
"283","NTL","Nortel Inversora S.A.","Technology","Telecom Services - Foreign"
"284","SRT","StarTek, Inc.","Services","Business Services"
"285","FIX","Comfort Systems USA, Inc.","Industrial Goods","General Contractors"
"286","EGHT","8x8, Inc.","Technology","Diversified Communication Services"
"287","PSMT","PriceSmart, Inc.","Services","Discount, Variety Stores"
"288","PLCE","The Children's Place, Inc.","Services","Apparel Stores"
"289","SRI","Stoneridge, Inc.","Consumer Goods","Auto Parts"
"290","CHRW","C.H. Robinson Worldwide, Inc.","Services","Air Delivery & Freight Services"
"291","FORTY","Formula Systems (1985) Ltd.","Technology","Business Software & Services"
"292","CHL","China Mobile Limited","Technology","Wireless Communications"
"293","CSU","Capital Senior Living Corporation","Healthcare","Long-Term Care Facilities"
"294","SAH","Sonic Automotive, Inc.","Services","Auto Dealerships"
"295","GEOS","Geospace Technologies Corporation","Basic Materials","Oil & Gas Equipment & Services"
"296","AI","Arlington Asset Investment Corp.","Financial","Mortgage Investment"
"297","NICK","Nicholas Financial, Inc.","Financial","Credit Services"
"298","PWR","Quanta Services, Inc.","Industrial Goods","General Contractors"
"299","SCS","Steelcase Inc.","Consumer Goods","Business Equipment"
"300","WDR","Waddell & Reed Financial, Inc.","Financial","Asset Management"
"301","UVSP","Univest Corporation of Pennsylvania","Financial","Regional - Northeast Banks"
"302","CFFI","C&F Financial Corporation","Financial","Regional - Mid-Atlantic Banks"
"303","FII","Federated Investors, Inc.","Financial","Asset Management"
"304","AXTI","AXT, Inc.","Technology","Semiconductor - Integrated Circuits"
"305","BDE",NA,NA,NA
"306","HCKT","The Hackett Group, Inc.","Services","Management Services"
"307","GIL","Gildan Activewear Inc.","Consumer Goods","Textile - Apparel Clothing"
"308","CSGP","CoStar Group, Inc.","Financial","Property Management"
"309","HTBK","Heritage Commerce Corp","Financial","Regional - Pacific Banks"
"310","RBCAA","Republic Bancorp, Inc.","Financial","Regional - Southeast Banks"
"311","IX","ORIX Corporation","Financial","Credit Services"
"312","VIV","Telefônica Brasil S.A.","Technology","Wireless Communications"
"313","PAA","Plains All American Pipeline, L.P.","Basic Materials","Oil & Gas Pipelines"
"314","BCOR","Blucora, Inc.","Technology","Internet Information Providers"
"315","AMRB","American River Bankshares","Financial","Regional - Pacific Banks"
"316","BAK","Braskem S.A.","Basic Materials","Chemicals - Major Diversified"
"317","ETM","Entercom Communications Corp.","Services","Broadcasting - Radio"
"318","GBL","GAMCO Investors, Inc.","Financial","Asset Management"
"319","EPAY","Bottomline Technologies (de), Inc.","Technology","Business Software & Services"
"320","EXTR","Extreme Networks, Inc.","Technology","Networking & Communication Devices"
"321","ATLC","Atlanticus Holdings Corporation","Financial","Credit Services"
"322","PGC","Peapack-Gladstone Financial Corporation","Financial","Regional - Northeast Banks"
"323","WTBA","West Bancorporation, Inc.","Financial","Regional - Southwest  Banks"
"324","KT","KT Corporation","Technology","Telecom Services - Foreign"
"325","NAD","Nuveen Quality Municipal Income Fund",NA,NA
"326","FFIV","F5 Networks, Inc.","Technology","Business Software & Services"
"327","JNPR","Juniper Networks, Inc.","Technology","Networking & Communication Devices"
"328","KTP",NA,NA,NA
"329","FNLC","The First Bancorp, Inc.","Financial","Regional - Northeast Banks"
"330","HSBC","HSBC Holdings plc","Financial","Foreign Money Center Banks"
"331","ACTA","Actua Corporation","Technology","Application Software"
"332","PCTI","PCTEL, Inc.","Technology","Wireless Communications"
"333","RHT","Red Hat, Inc.","Technology","Application Software"
"334","NTCT","NetScout Systems, Inc.","Technology","Business Software & Services"
"335","MFC","Manulife Financial Corporation","Financial","Life Insurance"
"336","RDWR","Radware Ltd.","Technology","Information Technology Services"
"337","BLK","BlackRock, Inc.","Financial","Asset Management"
"338","CIR","CIRCOR International, Inc.","Industrial Goods","Industrial Equipment & Components"
"339","PTNR","Partner Communications Company Ltd.","Technology","Wireless Communications"
"340","NSL","Nuveen Senior Income Fund",NA,NA
"341","AKAM","Akamai Technologies, Inc.","Technology","Internet Information Providers"
"342","TDY","Teledyne Technologies Incorporated","Technology","Scientific & Technical Instruments"
"343","BST",NA,NA,NA
"344","PKG","Packaging Corporation of America","Consumer Goods","Packaging & Containers"
"345","UTSI","UTStarcom Holdings Corp.","Technology","Wireless Communications"
"346","EW","Edwards Lifesciences Corporation","Healthcare","Medical Appliances & Equipment"
"347","PTR","PetroChina Company Limited","Basic Materials","Major Integrated Oil & Gas"
"348","FBR","Fibria Celulose S.A.","Consumer Goods","Paper & Paper Products"
"349","GSOL","Global Sources Ltd.","Services","Business Services"
"350","ON","ON Semiconductor Corporation","Technology","Semiconductor - Broad Line"
"351","UBS","UBS Group AG","Financial","Foreign Money Center Banks"
"352","SONS","Sonus Networks, Inc.","Technology","Communication Equipment"
"353","ISRG","Intuitive Surgical, Inc.","Healthcare","Medical Appliances & Equipment"
"354","CHU","China Unicom (Hong Kong) Limited","Technology","Wireless Communications"
"355","MVC",NA,NA,NA
"356","ENTG","Entegris, Inc.","Technology","Semiconductor Equipment & Materials"
"357","ERJ","Embraer S.A.","Industrial Goods","Aerospace/Defense Products & Services"
"358","INFI","Infinity Pharmaceuticals, Inc.","Healthcare","Biotechnology"
"359","SPTN","SpartanNash Company","Services","Food Wholesale"
"360","ASR","Grupo Aeroportuario del Sureste, S. A. B. de C. V.","Services","Air Services, Other"
"361","GRMN","Garmin Ltd.","Technology","Scientific & Technical Instruments"
"362","GPN","Global Payments Inc.","Services","Business Services"
"363","CSFL","CenterState Bank Corporation","Financial","Regional - Southeast Banks"
"364","AMOV","América Móvil, S.A.B. de C.V.",NA,NA
"365","OIS","Oil States International, Inc.","Basic Materials","Oil & Gas Equipment & Services"
"366","IDT","IDT Corporation","Technology","Diversified Communication Services"
"367","COL","Rockwell Collins, Inc.","Industrial Goods","Aerospace/Defense Products & Services"
"368","FIS","Fidelity National Information Services, Inc.","Technology","Information Technology Services"
"369","TAC","TransAlta Corporation","Utilities","Diversified Utilities"
"370","PFG","Principal Financial Group, Inc.","Financial","Life Insurance"
"371","CCRN","Cross Country Healthcare, Inc.","Services","Staffing & Outsourcing Services"
"372","LYG","Lloyds Banking Group plc","Financial","Foreign Money Center Banks"
"373","AKP","Alliance California Municipal Income Fund, Inc.",NA,NA
"374","MANT","ManTech International Corporation","Technology","Security Software & Services"
"375","JBLU","JetBlue Airways Corporation","Services","Regional Airlines"
"376","NPO","EnPro Industries, Inc.","Industrial Goods","Industrial Equipment & Components"
"377","BGFV","Big 5 Sporting Goods Corporation","Services","Sporting Goods Stores"
"378","JPS","Nuveen Preferred Securities Income Fund",NA,NA
"379","NGS","Natural Gas Services Group, Inc.","Basic Materials","Oil & Gas Equipment & Services"
"380","MMLP","Martin Midstream Partners L.P.","Basic Materials","Oil & Gas Pipelines"
"381","CME","CME Group Inc.","Financial","Investment Brokerage - National"
"382","STX","Seagate Technology plc","Technology","Data Storage Devices"
"383","FPT","Federated Premier Intermediate Municipal Income Fund",NA,NA
"384","NKX","Nuveen California AMT-Free Quality Municipal Income Fund",NA,NA
"385","IHG","InterContinental Hotels Group PLC","Services","Lodging"
"386","CHY","Calamos Convertible and High Income Fund",NA,NA
"387","DGICA","Donegal Group Inc.",NA,NA
"388","NTGR","NETGEAR, Inc.","Technology","Communication Equipment"
"389","TI.A",NA,NA,NA
"390","EVT","Eaton Vance Tax-Advantaged Dividend Income Fund",NA,NA
"391","WIA","Western Asset/Claymore Inflation-Linked Securities & Income Fund",NA,NA
"392","WF","Woori Bank Co., Ltd.",NA,NA
"393","LKQ","LKQ Corporation","Consumer Goods","Auto Parts"
"394","CMS.PB",NA,NA,NA
"395","PIY",NA,NA,NA
"396","MRLN","Marlin Business Services Corp.","Financial","Mortgage Investment"
"397","NXST","Nexstar Media Group, Inc.","Services","Broadcasting - TV"
"398","KTN",NA,NA,NA
"399","AHL","Aspen Insurance Holdings Limited","Financial","Property & Casualty Insurance"
"400","ETG","Eaton Vance Tax-Advantaged Global Dividend Income Fund",NA,NA
"401","WIW","Western Asset/Claymore Inflation-Linked Opportunities & Income Fund",NA,NA
"402","RNR.PC",NA,NA,NA
"403","MFD",NA,NA,NA
"404","MCHX","Marchex, Inc.","Services","Marketing Services"
"405","GJH",NA,NA,NA
"406","ALNY","Alnylam Pharmaceuticals, Inc.","Healthcare","Biotechnology"
"407","LPL","LG Display Co., Ltd.","Technology","Diversified Electronics"
